Id,Item,Type,Price
cc69d18a-e963-4fb3-b0ee-6a7951888536,치즈 미트 파니니,food,6500원
5ff77eea-7ab6-4dfd-a64f-6ebdb37bb22d,초콜릿 라떼,beverage,4500원
4bbd5a3d-2adf-464b-9569-af34943f7ae7,콜드브루,coffee,3500원
6620de0e-704d-4ed9-856b-415969632326,오미자차,beverage,5000원
ccf2e820-96bf-4b97-8637-74527f87cb3e,콜드브루 아메리카노,coffee,3500원
f9cd13bf-63aa-456b-959d-7dd86ea1cff8,바스크 치즈 케이크,food,7000원
5cca8107-835c-480c-b829-33134c245f94,아이스 밀크티,beverage,4500원
c64bc6d0-c7ed-48fc-a586-7160ea15fecc,치즈 미트 파니니,food,6500원
979d33a2-c7f4-4d2c-ae18-900320184925,아이스 초콜릿라떼,beverage,4500원
8bdeb382-fc4c-4539-984f-15f2220f963d,아이스 자몽주스,beverage,5000원
18ad4fb1-78eb-4d35-9fd9-29318e10b9b6,자몽주스,beverage,5000원
b1b8ed76-587e-45ca-ae20-5293afb3be72,아이스 오미자차,beverage,5000원
dfdcea94-898d-4011-a726-9f7497b36cef,요거트 블루베리 케이크,food,7000원
44262dd7-4ed1-469e-aa9d-615f6e678049,파인애플주스,beverage,5000원
170e7011-b1a1-4d4b-a2e7-3035bce7d4f1,티라미수,food,6500원
c1a1f8fb-fb83-4e07-8cd0-2d7b75ab8c7f,바스크 치즈 케이크,food,7000원
245b9455-f384-42da-944c-1f761fd614b6,바닐라라떼,coffee,4000원
084255cb-5083-411e-8e99-68c25f3605c6,아메리카노,coffee,3000원
a7cb9e9e-283b-42b5-9f12-a3729af192f9,아이스 카페라떼,coffee,3500원
f10285b8-2cce-4f4d-8dd6-ee5df6b8e9da,요거트 블루베리 케이크,food,7000원
