id,name,타입,address
33067d68-aa1e-48cb-af18-17535f7e29c4,별다방 동남구3호점,별다방,광주시 동남구 42길 19
996c67d6-6a4f-4fbe-b82d-df46eead213b,별다방 영도구5호점,별다방,파주시 영도구 18길 80
567f5768-5364-456b-9c62-60e40423cfb9,카페베네 도봉구3호점,카페베네,수원시 도봉구 20길 47
d14ae62b-a1ef-4769-9eac-6fc7bb577a5b,카페베네 노원구6호점,카페베네,수원시 노원구 71길 36
98fa62ef-016a-45c7-af18-04c00ddcd035,이디야 동구2호점,이디야,창원시 동구 1길 61
fbed7cea-3fbf-4957-a4c0-dd6c45079a2e,카페베네 광산구4호점,카페베네,시흥시 광산구 72길 75
55bcf271-a738-4f54-8838-24d58b15c157,스타벅스 중구7호점,스타벅스,창원시 중구 84길 75
3cfda7c3-ee6d-49fc-86a3-096ddd5aebb1,별다방 영도구1호점,별다방,대구시 영도구 30길 5
9b6cd8a8-6999-4658-9016-21c7b082e61e,투썸 은평구5호점,투썸,남양주시 은평구 42길 99
59b13c9f-862e-4061-aae8-22702efe0294,스타벅스 서북구3호점,스타벅스,수원시 서북구 17길 43
